title,Year,cast1,cast2, cast3, crew1, crew2, crew3, genre, NotListed, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
Revenge of the Nerds IV: Nerds In Love,1994, Robert Carradine, Curtis Armstrong, Ted McGinley, Steve Zacharias, , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Deadrise,2011, Renee O'Connor, Larry Joe Campbell, Grant Krause, Richard Brauer, , , Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Raising Helen,2004, Kate Hudson, Joan Cusack, Hayden Panettiere, Garry Marshall, Ashok Amritraj, David Hoberman, Comedy-Family-Romance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Dobus - Suikerspinnen,2010, Patrick Onzia, Peter Bulckaen, Nele Goossens, , , , Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
The Stoning,2006, Haluk Piyes, Cheyenne Rushing, , Harald Holzenleiter, , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
What is the Electric Car?,2010, Ed Begley Jr., Aaron Berger, Tom Berry, Ken Grant, Ken Grant, Andrew Reilly, Documentary-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,
Four Centuries of American Education,1999, , , , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Young and Dangerous 2,1996, Ekin Cheng, Jordan Chan Siu-Chun, Gigi Lai, Andrew Lau Wai-Keung, , , Action-Crime-Foreign-Thriller,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,
Piano 17,2006, Giampaolo Morelli, Elisabetta Rocchetti, Giuseppe Soleri, Antonio Manetti, Marco Manetti, , Action-Comedy-Crime,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Ivan,1932, Konstantin Bondarevsky, Dmitri Golubinsky, Elena Golki, Ganna Chernyatsina, Aleksandr Dovzhenko, Iosif Shpinel, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Misery,1990, James Caan, Kathy Bates, Richard Farnsworth, Rob Reiner, Stephen King, William Goldman, Horror-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Lyrical Nitrate,1991, Lyda Borelli, Henny Porten, Anni Timm, Peter Delpeut, Peter Delpeut, Menno Boerema, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Monster a-Go Go,1965, Phil Morton, June Travis, George Perry, Bill Rebane, Herschell Gordon Lewis, Jeff Smith, Horror-ScienceFiction,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
The Big Swallow,1901, Sam Dalton, , , James Williamson, James Williamson, , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Murder on the Campus,1933, Shirley Grey, Charles Starrett, J. Farrell MacDonald, Richard Thorpe, Whitman Chambers, M.A. Anderson, Mystery,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Me and the Kid,1993, Danny Aiello, Alex Zuckerman, Joe Pantoliano, Dan Curtis, Stanley Cohen, Richard Tannenbaum, Comedy-Crime-Drama-Family,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
Jason X,2001, Kane Hodder, Lexa Doig, Chuck Campbell, Robin D. Cook, Maxyne Baker, James Isaac, Horror-ScienceFiction,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Andy Parsons: Gruntled,2011, Andy Parsons, , , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
April Fools,2007, , , , , , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Chinthavishtayaya Shyamala,1998, Sreenivasan, Sangita, Sudheesh, Sreenivasan, Sreenivasan, , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Detective Story,1951, Kirk Douglas, Eleanor Parker, William Bendix, William Wyler, Sidney Kingsley, Robert Wyler, Crime-Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Donald Applecore,1952, Clarence Nash, Dessie Flynn, James MacDonald, Jack Hannah, Bill Berg, Nick George, Animation-Family,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Ghost Blues: Rory Gallagher,2010, Cameron Crowe, Slash, Bob Geldof, Ian Thuillier, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saturday the 14th,1981, Richard Benjamin, Paula Prentiss, Jeffrey Tambor, Howard R. Cohen, Howard R. Cohen, Julie Corman, Comedy-Fantasy-Horror,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
The Brigand,1961, Francesco Seminario, Adelmo Di Fraia, Serena Vergano, Renato Castellani, Giuseppe Berto, Nino Rota, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Life Begins at Eight-Thirty,1942, Monty Woolley, Ida Lupino, Cornel Wilde, Irving Pichel, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cum Like Crazy,2010, Ferrara Gomez, , , , , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hornet's Nest,1970, Rock Hudson, Sylva Koscina, Sergio Fantoni, Phil Karlson, Ennio Morricone, ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Space Cowboys,2000, Clint Eastwood, Tommy Lee Jones, Donald Sutherland, Deborah Hopper, Henry Bumstead, Jack G. Taylor Jr., Action-Adventure-Thriller,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,
Four Assassins,2013, Will Yun Lee, Miguel Ferrer, Mercedes Renard, Stanley J. Orzel, Stanley J. Orzel, , Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
A Kiss for Cinderella,1925, Betty Bronson, Esther Ralston, Henry Vibart, Herbert Brenon, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Aaria,1997, , , , , , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jim Jefferies: Fully Functional,2012, Jim Jefferies, , , Jay Chapman, Lisa Blum, Jay Karas, Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sittin' on a Backyard Fence,1933, , , , Earl Duvall, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Haunting of Sorority Row,2007, Leighton Meester, Kailin See, Lisa Marie Caruk, Bert Kish, Jed Seidel, Michael Vickerman, Horror-Mystery-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
